assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
914284,162552,Rossia palpebrosa,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,palpebrosa,,,,"Owen, 1834",Least Concern,,3.1,Unknown,Global
914520,162553,Sepia pulchra,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,pulchra,,,,"Roeleveld &amp; Liltved, 1985",Data Deficient,,3.1,Unknown,Global
914661,162554,Sepia papuensis,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,papuensis,,,,"Hoyle, 1885",Least Concern,,3.1,Unknown,Global
914962,162555,Rondeletiola capensis,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rondeletiola,capensis,,,,"(Voss, 1962)",Data Deficient,,3.1,Unknown,Global
915099,162556,Sepia prashadi,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,prashadi,,,,"Winckworth, 1936",Least Concern,,3.1,Unknown,Global
915487,162557,Sepietta oweniana,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Sepietta,oweniana,,,,"(d'Orbigny, 1839-41 in Férussac &amp; d'Orbigny 1834-1848)",Data Deficient,,3.1,Unknown,Global
915981,162558,Sepia gibba,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,gibba,,,,"Ehrenberg, 1831",Data Deficient,,3.1,Unknown,Global
916159,162559,Euprymna tasmanica,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Euprymna,tasmanica,,,,"(Pfeffer, 1884)",Data Deficient,,3.1,Unknown,Global
916353,162560,Sepiola steenstrupiana,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Sepiola,steenstrupiana,,,,"Levy, 1912",Data Deficient,,3.1,Unknown,Global
916691,162561,Sepia insignis,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,insignis,,,,"Smith, 1916",Data Deficient,,3.1,Unknown,Global
