DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2015,67.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2016,68.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2017,69.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2018,70.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2019,71.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2020,70.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2021,71.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HR,2022,72.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2011,63.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2012,62.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2013,61.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2014,60.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2015,61.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2016,62.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2017,65.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2018,66.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2019,67.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2020,66.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2021,68.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,HU,2022,66.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,IE,2011,121.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,IE,2012,121.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,IE,2013,124.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,IE,2014,128.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,IE,2015,128.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,IE,2016,129.4,
